topic, word, score
0,arts,0.132423295699499
0,organizations,0.0309398600814854
0,cach,0.0301540871693388
0,symphony,0.0259047567971755
0,groups,0.0251274649846088
0,museum,0.0241518144045142
0,grants,0.0232621420995999
0,council,0.0220712327487217
0,endowment,0.0217398791908164
0,00,0.0193828050105775
0,budget,0.0185053846709659
0,board,0.0179410301811982
0,money,0.0168402336096099
0,percent,0.0166756871382234
0,cultural,0.0160538940704167
0,support,0.0156695291682671
0,director,0.0154138997554789
0,fund,0.0144370338180767
0,institutions,0.0132726649087957
0,orchestra,0.0131333676989981
0,programs,0.0119836212097676
0,funds,0.0113624171705758
0,city,0.0111931821810514
0,fiscal,0.0108237518697768
0,grant,0.01078897011742
0,museums,0.0106709876472423
0,hackney,0.0104617067126333
0,education,0.0100312196099037
0,foundation,0.00985824996977911
0,funding,0.0097535671665887
0,cheney,0.00972903009611801
0,executive,0.00918871258349236
0,program,0.00873924171895931
0,neh,0.0084377735476702
0,humanities,0.00839140065378485
0,president,0.00837214937309621
0,financial,0.00826158130810016
0,chairman,0.00754631317955801
0,community,0.00708383068347809
0,opera,0.00695719138476924
0,hodsoll,0.00684692982101656
0,orchestras,0.00653743916198967
0,organization,0.00641798055591631
0,corporate,0.00607196860674664
0,smithsonian,0.0059051352872452
0,operating,0.00587618330663713
0,committee,0.00585548968924637
0,theater,0.00583088256290555
0,state,0.00581410938859804
0,agency,0.0057715011906538
0,center,0.00571522236384433
0,raising,0.00558857816560771
0,report,0.00553880166432113
0,national,0.00552682748695461
0,increase,0.00543700325995178
0,deficit,0.00523596726065485
0,staff,0.00518545320368413
0,donors,0.00504759814281131
0,stabilization,0.00495380787125233
0,agencies,0.00495178992041562
0,received,0.00481244975905206
0,private,0.00476521283606182
0,mccollam,0.00475474435378854
0,income,0.00470487304577692
0,major,0.00464042397451031
0,foundations,0.00463040522339762
0,nasf,0.00451263385948994
0,trustees,0.00450888393545993
0,budgets,0.00444385814892771
0,ms,0.00443028478149141
0,performing,0.00439381888112995
0,wolfensohn,0.00438407182333706
0,nonprofit,0.00433618676088305
0,motel,0.00432490255190866
0,applications,0.00431158438144956
0,artists,0.00426957967390144
0,tca,0.00404960283473211
0,mayor,0.00402693198178482
0,management,0.00399934448232582
0,expenses,0.00390994888660656
0,institution,0.00389035442064111
0,members,0.00388697523242628
0,projects,0.00380224604728535
0,local,0.00378829837666181
0,awarded,0.00375819637238931
0,corporations,0.0035963070705351
0,task,0.00350173331054416
0,tax,0.00348938933149858
0,administrative,0.0034826692439681
0,government,0.00347643534907424
0,ballet,0.00346109647238234
0,artistic,0.00345152138115128
0,study,0.00332350310418883
0,announced,0.00331054605147155
0,county,0.00329733543514592
0,companies,0.00328034461976809
0,total,0.00327444404808162
0,cachh,0.00325930753988354
0,increased,0.00325660992909593
0,panel,0.00325040634711396
1,music,0.108866871695636
1,jazz,0.077762996338158
1,orchestra,0.0291512579786938
1,musicians,0.0253901685534363
1,blues,0.0250234169355133
1,black,0.022233093347304
1,concert,0.0221262744539442
1,band,0.0189105647210655
1,album,0.0176496730508903
1,classical,0.015637285002577
1,songs,0.0153689477538233
1,musical,0.0140950111760602
1,orchestras,0.0133503759843664
1,composers,0.0128787114392065
1,guitar,0.012088104429905
1,composer,0.0111313088185154
1,symphony,0.0109564078458006
1,piano,0.0102813937556587
1,concerts,0.0102193839337961
1,gospel,0.00989051412204981
1,musician,0.00980786999605747
1,song,0.00978903272074339
1,pianist,0.00941061978840758
1,folk,0.00910598818798908
1,radio,0.00903156038717838
1,mingus,0.00883882857083363
1,ellington,0.00859107121605084
1,rock,0.00837931021183608
1,pbs,0.00829739349945061
1,recording,0.00816593502690566
1,guitarist,0.00806108723856507
1,singer,0.0077730994528802
1,nso,0.00773729373688034
1,saxophonist,0.00757654091254319
1,ayala,0.00683696162111503
1,recordings,0.00682841630124876
1,singing,0.00682690926870776
1,quartet,0.00659529036310707
1,rostropovich,0.00648201757146586
1,slatkin,0.00616528024941252
1,american,0.00608541286291213
1,african,0.00601286256220179
1,conjunto,0.00595598224462765
1,orchestral,0.00593513448874707
1,playing,0.00587329256211997
1,sing,0.00578976288837338
1,mins,0.0057889144473333
1,wuorinen,0.00569021321260192
1,played,0.00568349709272304
1,stations,0.00566899355376084
1,conductor,0.00566703099105013
1,play,0.00560123817546723
1,singers,0.00560117538505777
1,gershwin,0.00555218768796104
1,listeners,0.00532917910835782
1,bajo,0.00523657338666915
1,cajun,0.005225050493362
1,beethoven,0.00522028676425201
1,tejano,0.00518580530028405
1,concerto,0.00511488072567512
1,saxophone,0.00511383884345578
1,doucet,0.00503143958218594
1,marsalis,0.00499288704661098
1,juilliard,0.00486924652480167
1,rhythm,0.00472508873038786
1,untied,0.00470341984351275
1,tunes,0.00463563071717847
1,instruments,0.00462878176357883
1,fiddler,0.00461282061559989
1,young,0.00459493041653975
1,broadcasting,0.00455937298030275
1,television,0.00453773141632399
1,audience,0.00453665899643935
1,cornish,0.004492532822543
1,menard,0.00447712214018024
1,ensemble,0.00447016337613843
1,cephas,0.00445203461602275
1,bassist,0.00444564301856554
1,philharmonic,0.00444246108993936
1,pop,0.00442431940931212
1,accordion,0.00441516956788345
1,khan,0.0043937289786231
1,culture,0.00436353230518706
1,bands,0.00434673049488473
1,lomax,0.00427249003021746
1,station,0.00426948230602771
1,albums,0.00421678415990766
1,gimble,0.00415114366150583
1,kammen,0.00411329243299344
1,maraire,0.00411100262149395
1,tv,0.00405354267735035
1,film,0.00405304328401218
1,sound,0.00401930291360421
1,instrument,0.00393606524456518
1,murrow,0.00388961727982778
1,copeland,0.00387086303553991
1,player,0.00372365242506752
1,cpb,0.00368880612372177
1,bass,0.00367950656003397
1,weta,0.00364621934373207
2,republicans,0.0620401295445028
2,budget,0.0557927982525869
2,senate,0.0535763881514712
2,tax,0.0477726871846759
2,gop,0.0458182175191104
2,republican,0.0424912893964241
2,spending,0.0374389233541435
2,clinton,0.0367068439621184
2,appropriations,0.0327275900127359
2,democrats,0.0311805695443027
2,gingrich,0.0304936426884109
2,house,0.0304472524378014
2,federal,0.0275626202498021
2,medicare,0.0235709925680558
